source,medium,campaign,content,audience,title_zh,title_en,copy_zh,copy_en,cta_zh,cta_en,landing_page,utm_url
"email","outreach","configurator_gpu_server_quote","rfq_followup","詢價追蹤","GPU 伺服器報價配置器","GPU Server Quote Configurator","您好，這是「GPU 伺服器報價配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for GPU Server Quote Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_gpu_server_quote&utm_content=rfq_followup"
"linkedin","organic","configurator_h200_vs_rtx_pro_6000","technical","技術團隊","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=technical"
"linkedin","organic","configurator_h200_vs_rtx_pro_6000","procurement","採購團隊","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","採購 GPU 伺服器或 AI 工作站時，先用「NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=procurement"
"email","outreach","configurator_h200_vs_rtx_pro_6000","rfq_followup","詢價追蹤","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","您好，這是「NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=rfq_followup"
"linkedin","organic","configurator_gpu_server_rfq_checklist","technical","技術團隊","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","AI 採購 GPU 伺服器 RFQ 檢核表已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","GPU Server RFQ Checklist for AI Procurement helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=technical"
"linkedin","organic","configurator_gpu_server_rfq_checklist","procurement","採購團隊","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","採購 GPU 伺服器或 AI 工作站時，先用「AI 採購 GPU 伺服器 RFQ 檢核表」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, GPU Server RFQ Checklist for AI Procurement keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=procurement"
"email","outreach","configurator_gpu_server_rfq_checklist","rfq_followup","詢價追蹤","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","您好，這是「AI 採購 GPU 伺服器 RFQ 檢核表」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for GPU Server RFQ Checklist for AI Procurement. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=rfq_followup"
"linkedin","organic","configurator_liquid_cooling_ai_server_procurement","technical","技術團隊","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","液冷 AI 伺服器採購指南已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","Liquid-Cooling AI Server Procurement Guide helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=technical"
"linkedin","organic","configurator_liquid_cooling_ai_server_procurement","procurement","採購團隊","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","採購 GPU 伺服器或 AI 工作站時，先用「液冷 AI 伺服器採購指南」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, Liquid-Cooling AI Server Procurement Guide keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=procurement"
"email","outreach","configurator_liquid_cooling_ai_server_procurement","rfq_followup","詢價追蹤","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","您好，這是「液冷 AI 伺服器採購指南」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for Liquid-Cooling AI Server Procurement Guide. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=rfq_followup"
"linkedin","organic","configurator_gpu_server_power_planning","technical","技術團隊","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","GPU 伺服器電力規劃配置器已可先整理 GPU、CPU、記憶體、NVMe、電源與網路假設。技術團隊可用配置器把討論內容轉成可追蹤的配置連結，再交給 EudTech 進行正式報價確認。","GPU Server Power Planning Configurator helps technical teams align GPU, CPU, memory, NVMe, power, and networking assumptions before RFQ. Use the configurator to create a trackable build link for EudTech quote follow-up.","開啟配置器","Open configurator","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_power_planning&utm_content=technical"
"linkedin","organic","configurator_gpu_server_power_planning","procurement","採購團隊","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","採購 GPU 伺服器或 AI 工作站時，先用「GPU 伺服器電力規劃配置器」把規格、用途與配置假設集中在同一個連結，方便內部審查與後續詢價。","For GPU server or AI workstation procurement, GPU Server Power Planning Configurator keeps configuration assumptions and quote context in one reviewable link.","取得配置連結","Get configuration link","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=linkedin&utm_medium=organic&utm_campaign=configurator_gpu_server_power_planning&utm_content=procurement"
"email","outreach","configurator_gpu_server_power_planning","rfq_followup","詢價追蹤","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","您好，這是「GPU 伺服器電力規劃配置器」的配置入口。若您正在評估 AI 訓練、推論、HPC 或 GPU 工作站需求，可先用此連結整理配置，再回覆給我們安排正式報價。","Hello, this is the configuration entry for GPU Server Power Planning Configurator. If you are evaluating AI training, inference, HPC, or GPU workstation requirements, you can use this link to prepare the build before requesting a formal quote.","回覆此信並附上配置","Reply with the configuration","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=email&utm_medium=outreach&utm_campaign=configurator_gpu_server_power_planning&utm_content=rfq_followup"
